CodeID,Rat,Phase,SpeciesID,Species,Sex,Precipitation,TempMax,TempMin,Season,Sunit,spPhase
22a2,A,advance decay,CL,Calliphora_lopesi,M,4.28,11.66,17.56,winter,advance decayA,advance decayCL
22a3,A,advance decay,CL,Calliphora_lopesi,F,4.28,11.66,17.56,winter,advance decayA,advance decayCL
22b1,B,advance decay,CL,Calliphora_lopesi,M,4.28,11.66,17.56,winter,advance decayB,advance decayCL
22b2,B,advance decay,CL,Calliphora_lopesi,M,4.28,11.66,17.56,winter,advance decayB,advance decayCL
22b3,B,advance decay,CL,Calliphora_lopesi,M,4.28,11.66,17.56,winter,advance decayB,advance decayCL
23a1,A,advance decay,CL,Calliphora_lopesi,F,11.775,18.68,73.25,winter,advance decayA,advance decayCL
23a2,A,advance decay,CL,Calliphora_lopesi,F,11.775,18.68,73.25,winter,advance decayA,advance decayCL
23b1,B,advance decay,CL,Calliphora_lopesi,M,11.775,18.68,73.25,winter,advance decayB,advance decayCL
23b3,B,advance decay,CL,Calliphora_lopesi,M,11.775,18.68,73.25,winter,advance decayB,advance decayCL
26a1,A,dry,CL,Calliphora_lopesi,F,5.6,13.56,20.52,winter,dryA,dryCL
26a2,A,dry,CL,Calliphora_lopesi,F,5.6,13.56,20.52,winter,dryA,dryCL
26a3,A,dry,CL,Calliphora_lopesi,M,5.6,13.56,20.52,winter,dryA,dryCL
26b1,B,dry,CL,Calliphora_lopesi,M,5.6,13.56,20.52,winter,dryB,dryCL
28a1,A,dry,CL,Calliphora_lopesi,M,9.6,12.6,17.68,winter,dryA,dryCL
28b1,B,dry,CL,Calliphora_lopesi,F,9.6,12.6,17.68,winter,dryB,dryCL
2g1,G,bloat,LE,Lucilia_eximia,F,7.7,15.625,23.96,spring,bloatG,bloatLE
2g2,G,bloat,LE,Lucilia_eximia,F,7.7,15.625,23.96,spring,bloatG,bloatLE
2i2,I,bloat,LE,Lucilia_eximia,F,2.45,19.89166667,23.96,summer,bloatI,bloatLE
2i3,I,bloat,LE,Lucilia_eximia,F,2.45,19.89166667,23.96,summer,bloatI,bloatLE
2i5,I,bloat,HSD,Hemilucilia_semidiaphana,F,2.45,19.89166667,23.96,summer,bloatI,bloatHSD
2k1,K,bloat,CHA,Chrysomya_albiceps,F,2.45,19.89166667,23.96,summer,bloatK,bloatCHA
2k10,K,bloat,HSD,Hemilucilia_semidiaphana,F,2.45,19.89166667,23.96,summer,bloatK,bloatHSD
2k2,K,bloat,CHA,Chrysomya_albiceps,F,2.45,19.89166667,23.96,summer,bloatK,bloatCHA
2k3,K,bloat,CHA,Chrysomya_albiceps,F,2.45,19.89166667,23.96,summer,bloatK,bloatCHA
2k6,K,bloat,LE,Lucilia_eximia,F,2.45,19.89166667,23.96,summer,bloatK,bloatLE
2k7,K,bloat,LE,Lucilia_eximia,F,2.45,19.89166667,23.96,summer,bloatK,bloatLE
2k9,K,bloat,HSD,Hemilucilia_semidiaphana,F,2.45,19.89166667,23.96,summer,bloatK,bloatHSD
2l1,L,bloat,LE,Lucilia_eximia,F,2.45,19.89166667,23.96,summer,bloatL,bloatLE
2l12,L,bloat,CHA,Chrysomya_albiceps,F,2.45,19.89166667,23.96,summer,bloatL,bloatCHA
2l15,L,bloat,CHA,Chrysomya_albiceps,F,2.45,19.89166667,23.96,summer,bloatL,bloatCHA
2l16,L,bloat,CHA,Chrysomya_albiceps,F,2.45,19.89166667,23.96,summer,bloatL,bloatCHA
2l2,L,bloat,LE,Lucilia_eximia,F,2.45,19.89166667,23.96,summer,bloatL,bloatLE
2l3,L,bloat,LE,Lucilia_eximia,F,2.45,19.89166667,23.96,summer,bloatL,bloatLE
2l4,L,bloat,HSD,Hemilucilia_semidiaphana,F,2.45,19.89166667,23.96,summer,bloatL,bloatHSD
2l5,L,bloat,HSD,Hemilucilia_semidiaphana,F,2.45,19.89166667,23.96,summer,bloatL,bloatHSD
2l6,L,bloat,HSD,Hemilucilia_semidiaphana,F,2.45,19.89166667,23.96,summer,bloatL,bloatHSD
2m1,M,bloat,LE,Lucilia_eximia,F,2.45,19.89166667,23.96,summer,bloatM,bloatLE
2m10,M,bloat,CHA,Chrysomya_albiceps,F,2.45,19.89166667,23.96,summer,bloatM,bloatCHA
2m14,M,bloat,LE,Lucilia_eximia,F,2.45,19.89166667,23.96,summer,bloatM,bloatLE
2m3,M,bloat,LE,Lucilia_eximia,F,2.45,19.89166667,23.96,summer,bloatM,bloatLE
2m7,M,bloat,CHA,Chrysomya_albiceps,F,2.45,19.89166667,23.96,summer,bloatM,bloatCHA
2m8,M,bloat,CHA,Chrysomya_albiceps,F,2.45,19.89166667,23.96,summer,bloatM,bloatCHA
1o3,O,fresh,LE,Lucilia_eximia,F,7.25,14.6,21.96,fall,freshO,freshLE
2n1,N,fresh,LE,Lucilia_eximia,F,7.375238095,15.24076191,22.33,fall,freshN,freshLE
2n2,N,fresh,LE,Lucilia_eximia,F,7.375238095,15.24076191,22.33,fall,freshN,freshLE
2o2,O,bloat,LE,Lucilia_eximia,F,7.375238095,15.24076191,22.33,fall,bloatO,bloatLE
2o3,O,bloat,LE,Lucilia_eximia,F,7.375238095,15.24076191,22.33,fall,bloatO,bloatLE
2p1,P,bloat,LE,Lucilia_eximia,F,7.375238095,15.24076191,22.33,fall,bloatP,bloatLE
2p2,P,bloat,LE,Lucilia_eximia,F,7.375238095,15.24076191,22.33,fall,bloatP,bloatLE
3f1,F,bloat,LE,Lucilia_eximia,F,2.2,16.51333333,25,spring,bloatF,bloatLE
